                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.90358,                0.78357,                 1.0585,                0.89764,                 0.7888,                0.87073,                0.70763,                0.76635,                0.57269,                0.94368,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.83664,                0.71276,                 1.0385,                0.89572,                0.78931,                 0.8713,                0.71179,                0.76235,                0.56897,                 0.9424,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.88754,                0.76299,                 1.0494,                0.90467,                0.78683,                0.87384,                 0.7141,                0.76021,                0.56563,                0.94111,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.91622,                0.76287,                  1.058,                0.90495,                0.79267,                0.87488,                0.71422,                0.75943,                0.56551,                0.93983,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.82108,                0.72812,                 1.0388,                0.90765,                0.79114,                0.87475,                0.71677,                0.75868,                0.56438,                0.93941,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                0.88951,                0.74231,                 1.0498,                0.90976,                0.79131,                0.87521,                0.72102,                0.75614,                0.56474,                0.93757,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.83571,                0.71885,                 1.0367,                0.90761,                0.79237,                0.87524,                0.72007,                0.75412,                0.56147,                0.93636,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.85684,                0.72685,                  1.052,                0.91726,                0.78382,                0.87659,                 0.7246,                0.75007,                0.55662,                0.93467,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.84921,                0.72102,                  1.037,                0.92387,                0.78403,                0.87822,                0.72338,                0.74724,                0.55347,                0.93277,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.86254,                0.73209,                 1.0347,                0.92684,                0.78206,                0.87859,                0.72342,                0.74494,                0.55284,                0.93124,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.83876,                0.72522,                 1.0416,                0.93108,                0.77903,                0.87851,                0.72476,                0.74296,                0.55202,                0.92974,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.84305,                0.73761,                 1.0628,                0.93614,                  0.779,                0.88044,                0.72499,                0.74264,                0.55142,                0.92954,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.82202,                0.70316,                 1.0359,                0.93456,                0.78207,                0.87987,                0.72681,                0.74206,                0.54863,                0.92872,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.89065,                0.73208,                 1.0451,                 0.9296,                0.78491,                0.87955,                0.73019,                 0.7404,                0.54516,                 0.9281,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.83438,                0.69989,                 1.0259,                0.91735,                0.79576,                0.88187,                0.73278,                 0.7347,                 0.5423,                0.92622,             4.1245e-05,             4.1245e-05,             4.1245e-05
